iter	Passed	Remaining
0	165	82355
1	168	41870
2	171	28341
3	173	21561
4	176	17424
5	178	14689
6	181	12778
7	183	11283
8	185	10121
9	187	9186
10	189	8414
11	190	7763
12	192	7215
13	194	6747
14	196	6340
15	198	5990
16	199	5680
17	201	5399
18	203	5145
19	204	4915
20	206	4708
21	207	4517
22	209	4345
23	210	4184
24	212	4034
25	214	3902
26	215	3774
27	216	3655
28	218	3549
29	220	3449
30	221	3356
31	223	3265
32	224	3180
33	226	3099
34	227	3022
35	228	2951
36	230	2882
37	231	2818
38	233	2758
39	234	2700
40	236	2645
41	237	2592
42	239	2541
43	240	2494
44	242	2447
45	243	2403
46	244	2361
47	246	2320
48	247	2281
49	249	2244
50	250	2208
51	252	2174
52	253	2140
53	255	2108
54	256	2076
55	258	2047
56	259	2018
57	261	1990
58	262	1963
59	264	1937
60	265	1911
61	267	1887
62	268	1862
63	269	1838
64	271	1815
65	272	1793
66	274	1771
67	275	1750
68	276	1729
69	278	1710
70	279	1690
71	281	1672
72	282	1653
73	284	1636
74	285	1619
75	287	1602
76	288	1585
77	290	1569
78	291	1553
79	292	1538
80	294	1522
81	295	1508
82	297	1493
83	298	1479
84	300	1465
85	301	1452
86	303	1438
87	304	1425
88	306	1413
89	307	1401
90	309	1390
91	310	1378
92	312	1366
93	313	1355
94	315	1343
95	316	1333
96	318	1321
97	319	1310
98	320	1300
99	322	1289
100	323	1278
101	325	1269
102	326	1260
103	328	1251
104	330	1241
105	331	1232
106	333	1223
107	334	1214
108	336	1205
109	337	1197
110	339	1189
111	341	1182
112	342	1173
113	344	1165
114	345	1156
115	347	1149
116	349	1143
117	351	1136
118	353	1130
119	354	1123
120	371	1163
121	372	1155
122	374	1147
123	375	1139
124	377	1131
125	378	1123
126	380	1116
127	381	1108
128	382	1101
129	384	1093
130	385	1086
131	387	1079
132	388	1072
133	390	1065
134	391	1058
135	392	1051
136	394	1045
137	395	1038
138	397	1031
139	399	1026
140	400	1020
141	402	1013
142	403	1007
143	405	1001
144	406	995
145	408	989
146	409	983
147	411	977
148	412	972
149	414	966
150	415	960
151	416	954
152	418	948
153	419	943
154	421	937
155	422	932
156	424	926
157	425	921
158	427	915
159	428	911
160	430	906
161	431	901
162	433	896
163	434	891
164	436	885
165	437	880
166	439	875
167	440	870
168	442	865
169	443	860
170	444	855
171	446	851
172	447	846
173	449	841
174	450	837
175	452	832
176	453	827
177	455	823
178	456	818
179	458	814
180	459	810
181	461	806
182	463	802
183	464	797
184	466	793
185	467	789
186	468	784
187	470	780
188	471	776
189	473	772
190	474	767
191	476	763
192	477	759
193	478	755
194	480	751
195	481	747
196	483	743
197	484	739
198	486	735
199	487	731
200	489	728
201	491	724
202	492	721
203	494	717
204	496	713
205	497	710
206	499	706
207	500	703
208	502	699
209	503	695
210	505	692
211	507	688
212	509	686
213	510	682
214	512	679
215	514	676
216	515	672
217	517	669
218	519	666
219	520	662
220	522	659
221	524	656
222	525	652
223	527	649
224	529	646
225	530	643
226	532	640
227	533	637
228	535	633
229	537	630
230	538	627
231	540	624
232	541	620
233	543	617
234	544	614
235	546	611
236	547	607
237	549	605
238	551	602
239	553	599
240	555	597
241	557	594
242	559	591
243	561	588
244	562	585
245	564	582
246	566	579
247	567	576
248	569	573
249	570	570
250	572	567
251	573	564
252	575	561
253	577	558
254	578	555
255	580	553
256	582	550
257	583	547
258	585	544
259	586	541
260	588	539
261	590	536
262	592	533
263	593	530
264	595	528
265	597	525
266	598	522
267	600	519
268	602	517
269	603	514
270	605	511
271	606	508
272	608	505
273	610	503
274	611	500
275	613	497
276	614	495
277	616	492
278	618	489
279	619	486
280	621	484
281	622	481
282	624	478
283	626	476
284	628	473
285	630	471
286	631	468
287	633	466
288	635	463
289	636	461
290	638	458
291	640	456
292	642	453
293	643	450
294	645	448
295	647	446
296	648	443
297	650	440
298	651	438
299	653	435
300	655	433
301	657	430
302	658	428
303	660	426
304	662	423
305	664	421
306	666	418
307	667	416
308	669	413
309	671	411
310	673	409
311	675	406
312	677	404
313	679	402
314	681	399
315	683	397
316	684	395
317	686	392
318	688	390
319	690	388
320	691	385
321	693	383
322	695	381
323	697	378
