feature,importance
user_mean_amount,7.931687770264225
card2,7.233694358114518
C13,6.692296082440797
card1,6.371081645098243
addr1,6.188309015499708
user_tx_count,4.6282276575185195
V283,4.093736757664741
C1,4.061740404889843
C14,3.618473758551584
C6,3.255119031406373
C2,3.2100070518728487
C9,3.095386602571115
C5,3.0008018656396684
P_emaildomain,2.580829292931448
card5,2.295703147264387
C11,2.2416020087863946
log_amount,2.1199721107367
TransactionAmt,1.7554328059751483
card6,1.586528904000473
time_diff,1.496460360062723
amount_to_mean,1.4895952777237182
V90,1.4691615773770528
V91,1.4303493285316113
card4,1.36487815995969
V48,1.3530852692332225
hour,1.2808935642785526
V29,1.2040172247590566
R_emaildomain,1.1719191038296062
day,1.0180213547259531
V49,0.7861901116644172
card3,0.7019756989558963
TransactionDT,0.6550621180705789
ProductCD,0.6178444871341952
C12,0.42989283425978964
V38,0.32720610748960505
C3,0.2455045631028429
V139,0.2323964248824964
V87,0.21087522756815263
V78,0.1644853576561625
V43,0.16112233746647442
V258,0.1557515572667991
V44,0.14215214280777294
V85,0.13785482464758278
V59,0.13472624968777436
V147,0.13170743398765636
V45,0.12926208462499686
V72,0.1235020104911539
V52,0.12302275959992477
V37,0.12136040123453921
V146,0.11564169658965485
V24,0.11241844383477999
V47,0.11233576996136829
V154,0.11176869829071034
V149,0.10860210185525264
V86,0.09871364031963079
addr2,0.0985780686630636
C8,0.09782218497873808
V23,0.09622096013229023
V77,0.09354133285474958
V71,0.09348664275115706
V34,0.09166071179113221
C4,0.08334232136740913
V188,0.08219717088075916
V63,0.08171259799262975
V156,0.08166447623694094
V261,0.08073877425240585
V74,0.08000900829514392
V39,0.07968742219458974
V58,0.07848050141117466
V33,0.07806600170165179
V51,0.07454747226875845
V94,0.07348247952477943
V46,0.07229296743713334
V73,0.07225160637771139
V92,0.07188324970332186
V217,0.07007202329300717
C10,0.06939434409540107
V153,0.06782760016136674
V50,0.06571180397302057
V60,0.06479408084074825
V257,0.06452767785667658
V201,0.06414751028680094
V242,0.06406653402931162
V42,0.0629863092229852
V79,0.061842317461973696
V185,0.06152409037015929
V235,0.059715270014859434
V184,0.05967973327796075
V219,0.05861495709734246
V199,0.05751210663297684
V200,0.05513561248010435
V81,0.05474593136912811
V140,0.053240964056176926
V237,0.05191617014768836
V259,0.05081363358081449
V22,0.05062575068490425
V189,0.04927056513430178
V21,0.048913395286843436
V195,0.048132608444578624
V155,0.04672278312513438
V228,0.04668701308548012
V64,0.046451053204913335
V15,0.04642699820187048
V40,0.046076021953736744
V218,0.045753830702516554
C7,0.04403135239732733
V171,0.043192079282704944
V190,0.04302986409659858
V16,0.04251587027868904
V260,0.04202149998412963
V304,0.04187659116861126
V229,0.04029061162386145
V246,0.0388677485880785
V194,0.03669973063274063
V233,0.03370168764526152
V125,0.032547865419497654
V170,0.0322958083618297
V238,0.029877023155911762
V31,0.029627969262426203
V243,0.029319398109726093
V84,0.028207263397216013
V17,0.028071526165284716
V239,0.02797371901159572
V198,0.02744818763405421
V303,0.026640963688574222
V157,0.02527894983758689
V158,0.022903242505556937
V167,0.02219499897853826
V18,0.019734728063402773
V186,0.018846291270657126
V221,0.018708944807320955
V123,0.017879452310846627
V57,0.01606591015651784
V252,0.015139250970188431
V247,0.012206699708668153
V80,0.01201151710042166
V197,0.011857931690204115
V93,0.01157129513352201
V177,0.011545244455837022
V262,0.010594401828798445
V244,0.010501607629761663
V230,0.009832328340252033
V302,0.009075229962832856
V176,0.008099837720794693
V32,0.0068397852469517986
V179,0.0067964535022304534
V222,0.004072472471518973
V108,0.003925945427530994
V231,0.003266560684367158
V111,0.0027267226564262293
V232,0.002521182164671981
V112,0.0021048582738902016
V113,8.018115016639924e-05
V148,0.0
