feature,shap_importance
card1_target,1.6645212885741305
P_emaildomain_target,0.23570570725702902
V90,0.18480840133618803
addr1_target,0.15467221805740244
V283,0.14663952378228232
V69,0.13102427923042892
V29,0.13058361235721067
V282,0.12473660045210831
user_tx_count,0.11587187253521607
V48,0.109203072990814
amount_vs_user_mean,0.10174046938894744
log_amount,0.09947620644842081
TransactionAmt,0.09537275857393328
V103,0.09241415492973783
hour,0.07475000574738992
ProductCD_target,0.06694436768511451
V279,0.06583491814644403
V45,0.05887196468505344
time_diff,0.05745039408227868
V258,0.050103037169221015
V83,0.04606420644196265
card2_target,0.045061811901331565
V201,0.040223065096715874
V243,0.0385431332665116
V281,0.036328612539393304
V62,0.036004319762823714
V67,0.032122955921942746
V95,0.031032355874165925
V87,0.03054881335416031
V156,0.027957518532324564
V257,0.026098553116283067
V218,0.022863067656720398
V200,0.022641730158218985
V178,0.019792847579982654
V63,0.018354660680401855
V35,0.017993205756591014
card4_target,0.017857654124470587
V77,0.017301864537386368
V189,0.01694701960673228
V150,0.01684627070214106
V60,0.01624292473352681
V124,0.01604205050805093
is_night,0.015914289451467552
V261,0.015110340420882568
V244,0.015052958625211893
V303,0.014727193806166921
V155,0.014575148038832099
V38,0.014137135638845636
V246,0.01393984883772883
V199,0.01374392252846061
V188,0.013372999156590641
day_of_week,0.013349547733136537
V146,0.01249822817659536
V32,0.012126800746814614
V171,0.01145311751920756
V259,0.011252458922176398
V220,0.011028804485137884
V52,0.010735030243283573
V47,0.010571372828795974
V93,0.010472503839628503
V44,0.01046349540852326
V74,0.010354848059983945
V34,0.010183459687202563
V78,0.00970391220657656
V179,0.00838754331101931
V86,0.007860896334499707
V154,0.007586727178328362
V249,0.007498572493232587
V219,0.007492475393832668
V236,0.006937066144284217
V232,0.006578480469918144
V260,0.006411644080061567
V23,0.0061698864922992026
V158,0.005867760256526489
V275,0.005783156347168875
V238,0.00575419983097916
V157,0.00558111015524257
V10,0.005281532461950536
V222,0.005233155502527946
V147,0.005200492716486682
V142,0.005141713813140298
V170,0.005007803592786618
V21,0.004969976255703538
V18,0.004855536457795883
V43,0.004812933585501277
V324,0.004689771328219197
V245,0.004514933929557522
V40,0.004377051210832579
V139,0.004314459085077068
V198,0.004265380431423328
V79,0.004257928961174251
V304,0.004181106660497994
V141,0.003991610168646519
V85,0.0039777457989757774
V177,0.003948263887622114
V94,0.0038683536966219803
V16,0.003830373893633833
V231,0.0036990125751751603
V217,0.003694650182635693
V81,0.0036413217479991126
V194,0.003565598337821421
V140,0.0034206443772569926
V230,0.0033937591256987826
V239,0.003190400691295965
V262,0.0031491146221888575
V252,0.0031277355134995
V185,0.0030525186852927684
V195,0.0030025097266394695
V39,0.0029261338883299634
V181,0.002701837100318663
V197,0.002577246383130071
V228,0.002511816135971145
V184,0.0024919077510697726
V24,0.0024543071174577755
V46,0.0023466336417007805
V101,0.0023431091931711227
V247,0.002185849931186738
V167,0.0019431586730634667
V235,0.0017937038668303143
V123,0.001772233019607387
V37,0.0017210246567962062
V125,0.001638436941220383
V176,0.001373028814020813
V273,0.0013671158699788376
is_weekend,0.001308869408759091
V233,0.0011976908002712923
V237,0.0009225841131036714
V110,0.0007345743553265614
V186,0.000725185095762217
V113,0.0004002499964598849
V114,0.0003831591978152917
V116,0.00018405334514662083
V112,0.00016803827416254417
V108,0.0001646235230082845
V111,0.00015853329274054362
is_rapid_fire,0.00011438032651061588
