feature,corr
V257,0.3830597510206028
V246,0.3668776990983722
V244,0.3641291589611912
V242,0.3605904902659576
V201,0.3280050345981551
V200,0.31878251405844477
V189,0.30821946036912473
V188,0.3035822713377177
V258,0.29715149798963686
V45,0.28183194637643294
V158,0.27806624478809977
V156,0.2759520895145742
V149,0.27328210529905406
V228,0.26886098278184084
V44,0.2603761673462009
V86,0.2518279864239603
V87,0.2517374422127184
V170,0.24979447724564643
V147,0.24289437453977245
V52,0.23946916785412206
V157,0.2348663695600238
V155,0.2341990173968688
V230,0.23173981248706255
V199,0.23102431150770547
V148,0.22889104114794698
V51,0.22319110216658414
V171,0.2165084943537857
V40,0.21244182978301732
V243,0.2102381847595794
V154,0.2069584335722999
V190,0.20514835499160436
V39,0.2030965290784298
V38,0.19900451029870153
V146,0.19858410836535872
V43,0.19827388575876811
V140,0.19693821962354208
V79,0.1941409444802343
V42,0.1894282827316155
V94,0.18840709497741767
V74,0.18591509316376456
V33,0.18348618906163017
V153,0.1831138405725842
V17,0.18267262266154444
V18,0.18254989816550737
V81,0.18237723430445005
V93,0.180983156642006
V92,0.18051313293680993
V34,0.18030059415433408
V80,0.1802994721706677
V50,0.1799532856660311
V247,0.1797106997798416
V15,0.17796304981317346
V37,0.17694684591219895
V16,0.17431823036773209
V73,0.17387006465052188
V58,0.17306531089993096
V84,0.16911015898483914
V57,0.16888690850682908
V85,0.16883986941250526
V222,0.16638276427445295
V21,0.16598476139524707
V176,0.16434304217518098
V47,0.1641140634350258
V31,0.16316648223856625
V72,0.16095093557360882
V32,0.16019713121106963
V22,0.1588144833743149
V77,0.15838120990922172
V71,0.15684043831029681
card3,0.1541513330843276
V197,0.1539837315440276
V252,0.15336400048669768
V63,0.1533527166867043
V259,0.15163812747111607
V59,0.15106152341152992
V60,0.15095177763742657
V78,0.15042457212509325
V64,0.15037073026785802
V262,0.1503384232293407
id_17,0.1501004599249426
V23,0.149407773715331
V186,0.14890807293138966
V139,0.14759400119744837
V194,0.14720391150912318
V195,0.1470517158710875
V239,0.1413945261994231
V198,0.1399029211548068
V123,0.13822165473301115
V229,0.1372254596494377
V302,0.13290347239519282
V221,0.13254518577822688
V304,0.13149791827621865
V46,0.1259908548859167
V260,0.12488856705074149
V303,0.12428666375044023
V24,0.12382430317338701
V111,0.12160956073759786
V184,0.12139441667120301
id_22,0.11840860174814621
V238,0.1175117829458783
V113,0.1159758269279514
V249,0.11388722359124377
V283,0.1127312438938976
V125,0.11199901952861759
V185,0.10924541325577193
V112,0.10521209993223536
V261,0.10478494260852933
V282,0.10412294409398766
id_26,0.09958696595064646
V108,0.09679437359914068
V114,0.09608600001674374
V245,0.09131969672399137
V141,0.0856275743817412
V110,0.0816297396455195
V116,0.08064377871984053
V142,0.0804108218021697
V248,0.07851776676735542
V124,0.07672122015707329
V220,0.07661637397883443
V67,0.07619396234757007
V235,0.07619366563521317
V281,0.07262721128140043
V62,0.07239883344940781
id_32,0.06970167797713597
V83,0.0691547259312546
V169,0.06810293439986598
id_21,0.06354388003380937
V251,0.06334827593073722
id_20,0.06159651342823101
V56,0.06135614794277094
V109,0.060994001066503295
id_14,0.05732373315481923
V115,0.05710820737635059
V191,0.05519191286048423
V232,0.05460188594943602
V162,0.05330233623360698
V256,0.053043122689972036
V82,0.05111466657017061
V55,0.05011376566322708
id_18,0.050003873606409975
V254,0.04990093907695587
V117,0.04943855818274344
V61,0.04941222763739433
id_02,0.04939787996721311
V3,0.04925741608291119
V315,0.048298096077259677
V119,0.04813451578180667
